tweets,labls
"If President Biden is handing out medals to people defending democracy, he should add House Clerk Cheryl Johnson to… https://t.co/vAt7YQ7C4C",D
"North Carolina has 14 Representatives (elect) in the House. Seven Democrats, seven Republicans.

We're to take a 14… https://t.co/qWqLw5KQop",D
"RT @ReubenJones1: Two years ago on January 6, 2021 Spectrum News spoke with @RepAdams as she was trapped inside the Capitol during the atta…",D
"Thanks for making it back for the vote, David! https://t.co/tiJc8PZdT7",D
"RT @RepJamesClyburn: Today marks 2 years since the Jan. 6 insurrection, an abhorrent attack on our democracy led by Trump &amp; his followers.…",D
RT @SenSchumer: Today marks 2 years since a violent mob of insurrectionists—sanctioned by the former President—descended on the Capitol in…,D
"I just voted - for the 13th time - for Congressman Hakeem Jeffries to be the next Speaker of the House.

For the fi… https://t.co/Jl9fzc9AGJ",D
"RT @MeckCounty: Mecklenburg County has moved to HIGH on the CDC's COVID-19 Community Level tool » https://t.co/B9WDb2wL27

Recommendations…",D
"The Clerk of the House has gaveled us back in ...

We're going to a 13th vote.",D
"Next up, Republicans will either offer a Motion to Adjourn until next week, or we’ll have a 13th vote for Speaker. https://t.co/giJ3zEzQGI",D
Be safe and avoid W.T. Harris Blvd today. https://t.co/vokLlBceWc,D
"RT @RepFrenchHill: As America reflects on the violence that took place two years ago today, I am grateful for the men and women of the @Cap…",D
Your 12th District Congresswoman just proudly voted - for the 12th time - for Congressman Hakeem Jeffries to be the… https://t.co/5M8fhB6lNB,D
The findings of the January 6th Committee were unambiguous: then-President Trump incited a riot and led an attack o… https://t.co/JIQU9LEijJ,D
Still relevant after 11 votes. https://t.co/y9HgPpmAmx,D
RT @cspan: .@RepJeffries marks second anniversary of the #January6th - LIVE on C-SPAN https://t.co/Ih2yCYdAFB https://t.co/WDmKxE1L9G,D
"The House is adjourned.

See you tomorrow at Noon for our 12th vote for Speaker.",D
Now happening: a motion to adjourn. https://t.co/AoQhf3wCCs,D
I just voted - for the 11th time - for Congressman Hakeem Jeffries to be the next Speaker of the House.,D
"RT @CLTgov: #CLTCC will hold its Housing and Jobs Summit on Jan. 9 – 10. The Summit will allow council to discuss opportunities, recommenda…",D
"At the end of this round of votes for Speaker there will have been 2,120 votes for Hakeem Jeffries this week.",D
I just voted - for the tenth time - for Congressman Hakeem Jeffries to be the next Speaker of the House.,D
Tenth now ... https://t.co/L4LrJGYGsk,D
I just voted - for the ninth time - for Congressman Hakeem Jeffries to be the next Speaker of the House. https://t.co/E0g8ksxdkg,D
I am. I'd rather be patient than wrong. https://t.co/vhqr5N2v8m,D
An update on the Speaker Situation after 8 votes … https://t.co/nzt2lVQFFd,D
"RT @neilnicholson: 2022 End Of The Year Review! 
I don't ever have to ask the question ""What have you done for me lately."" @RepAdams 🫶🏿 htt…",D
I just voted - for the eighth time - for Congressman Hakeem Jeffries to be the next Speaker of the House!,D
"RT @RepBeatty: Congratulations to the men in crimson &amp; cream on 112 years of service, scholarship, and brotherhood. 

Happy J5! @kapsi1911",D
RT @RepNikema: Me too🙋🏾‍♀️,D
"I’m proud to cast today’s first vote for Speaker of the House for my friend, Mr. Hakeem Jeffries. https://t.co/DA8bcqp0nQ",D
Hakeem. House. Hat. https://t.co/OuYD0inJbl,D
Happy #KappaFoundersDay Nupes! https://t.co/DycrKlIky4,D
"Very happy about this news. 

My prayers continue to be with Damar, his teammates, and the Hamlin family. https://t.co/wqaGVada4J",D
"Looking forward to seeing everyone at 12:00 Noon today, when I’ll be casting my seventh vote for Mr. Jeffries for S… https://t.co/fiLCDpHCgV",D
RT @choosesam: Kevin McCarthy received more votes for speaker in the 117th Congress - with a Democratic Majority - than he has in any of th…,D
That’s my Speaker! https://t.co/m4QTnAjNKN,D
See y’all at 12:00 Noon tomorrow as I cast my seventh vote for Hakeem Jeffries for Speaker with 211 of my colleagues.,D
"No matter how this ends, it’s clear House Republicans are incapable of governing.
 
When we finally elect a Speaker… https://t.co/NKEcgOjp5E",D
"I voted no on adjourning the House tonight. We have work to do.

Since the first vote for Speaker, 212 members of t… https://t.co/tiG7LwsZhH",D
"Democrats remain unified and we’ll be here as long as it takes.

We’re ready to get to work for the American people. https://t.co/rrkuDCgsz1",D
"Looking forward to voting for @RepJeffries a couple more times today.

See you at 8PM!",D
"RT @RepJeffries: House Dems will continue to put people over politics.

Republicans are putting politics over the people.

And so America l…",D
I'm proud to cast my vote a sixth time for the Honorable Hakeem Jeffries for Speaker of the House. https://t.co/b7WhByBlXJ,D
As my friend @ChrisEvans once said … https://t.co/FuL2RYwN7h,D
North Carolina’s seven House Democrats have now voted 5 times each for Hakeem Jeffries to be the next Speaker of th… https://t.co/2CoObOqcmP,D
I'm proud to cast my vote a fifth time for the Honorable Hakeem Jeffries for Speaker of the House.,D
RT @just_jenna: Dems in array.,D
"It's a new dawn, it's a new day ... 

and I'm proud to cast my vote a fourth time for the Honorable Hakeem Jeffries… https://t.co/ePdjtYYWai",D
"My prayers are with the families of José Bonilla Canaca, Jesús “Chuy” Olivares Martínez, and Gilberto Monico Fernán… https://t.co/fV55udVBBt",D
"RT @RepAdams: I am proud to support Hakeem Jeffries, and I will continue to vote for him for Speaker on the fourth ballot and on all subseq…",D
"I am proud to support Hakeem Jeffries, and I will continue to vote for him for Speaker on the fourth ballot and on… https://t.co/ehlL9hAJNs",D
Proud to cast my vote a third time for the Honorable Hakeem Jeffries for Speaker of the House.,D
"RT @HUMensBB: @RepAdams Our team attended your panel in September at CBC week where “Birthing Justice” premiered. 

Yesterday, our program…",D
Proud to cast my vote a second time for the Honorable Hakeem Jeffries for Speaker of the House.,D
Proud to cast my vote - the first vote by any member of Congress this year - for the Honorable Hakeem Jeffries for Speaker of the House.,D
"Honored to begin the 118th Congress today. 

I'm looking forward to working with Democratic Leader @RepJeffries and… https://t.co/xkFOw5EQIP",D
"RT @RepCindyAxne: It has been an honor to represent Iowa's Third Congressional District in Congress. 

Thank you, and I wish you all the be…",D
Pray for Damar Hamlin and his family. Treat the stadium like you would any other workplace and send folks home. Don’t restart this game.,D
"It's already 2023 in many parts of the world!

As we celebrate tonight, please remember to do so responsibly. Don't… https://t.co/HtMY9ulY0b",D
I’m sad the Congress is losing a visionary leader like @RepDavidEPrice as well. https://t.co/vNb1SH6lf2,D
"RT @thecharpost: Final Page 1 for 2022:
• @HerbLWhite1 Q&amp;A w/@CommunityLinkNC incoming CEO Tameka Gunn
• New interim @CharMeckSchools chief…",D
"Thank you, @SecretaryPete.

if you or your loved ones were impacted by the Southwest Airlines cancellations, please… https://t.co/8zb53UUP6D",D
"Rest in Power, Pelé. https://t.co/av14nBEGXU",D
U.S. citizen Paul Whelan has had four years stolen from him while wrongfully detained by the Russian government.… https://t.co/JAatMUGMzi,D
RT @WhiteHouse: The Biden-Harris Administration wishes you and your loved ones a joyous and peaceful Kwanzaa! https://t.co/ZzrQ6QPttG,D
"RT @VP: When I was growing up, Kwanzaa was a special time in our home. Today, my family and I are reflecting on the seven principles. Happy…",D
"Wishing a happy first day of #Kwanzaa to everyone celebrating! ❤️💚🖤

From Umoja to Imani, may all the blessings of… https://t.co/eN1MjsbiIg",D
"I wish you and your family a #HappyHanukkah on the last night of the holiday tonight! 
 
Long after the final flame… https://t.co/jxB4WlLoUM",D
"RT @POTUS: There is a certain stillness at the center of the Christmas story: a silent night when all the world goes quiet.
 
And all the c…",D
"RT @USNavy: From our fleet to yours, #MerryChristmas and #HappyHolidays ☃️ 🎄 ⚓ 

Thank you to all those standing the watch today and every…",D
"Merry Christmas!

I hope joy fills your home and your heart as we celebrate the birth of a Savior today. This is tr… https://t.co/v9DWVac5Tc",D
"From my family to yours, have a Merry Christmas Eve! https://t.co/o3KYpAEicz",D
"RT @WBTV_News: “This is a difficult situation for many North Carolinians who are without power, but we expect every effort to be made to re…",D
Let’s pass the #Momnibus in the 118th Congress! https://t.co/D9NQHh583C,D
"Starting today at 6PM through January 2, @AAACarolinas' Tow to Go service will offer free rides for you and your ve… https://t.co/lpLWOzXhqY",D
"I wish you and your family a #HappyHanukkah on the last night of the holiday tonight! 
 
Long after the final flame… https://t.co/Iuz5bAWJPX",D
"RT @alysoncraigCLT: Happy Holidays from the Planning, Design &amp; Development Department!  Enjoy our holiday poem recapping some of our highli…",D
"RT @BMHCaucus: As 2022 winds to a close, @BMHCaucus Co-Chairs @RepAdams &amp; @RepUnderwood thank all the maternal health equity champions in C…",D
"Starting at 1 PM today, our office is closed for the holidays. 

Have a joyous holiday season, a Merry Christmas, a… https://t.co/i4d3gEefFs",D
"RT @MacFarlaneNews: Jan 6 Select Committee member Jamie Raskin (D-MD) tells @CBSNews ""We've come to the end of the Congress and everything…",D
RT @RepMikeQuigley: This year's gov't funding bill gave members the chance to send funding straight to the projects their communities need…,D
RT @JillDLawrence: This to me was one of the most important things President Zelensky said in a speech in which every line was important.,D
"President Zelenskyy was compelling in his speech.  

He was extremely appreciative for support and resources from t… https://t.co/crOMncp1XS",D
Inspired by President @ZelenskyyUa’s words tonight. Congress must continue to #StandWithUkraine against tyrants. https://t.co/cdlpb7OW6O,D
RT @RepSaraJacobs: So incredible to witness history and hear President Zelenskyy’s powerful address to Congress about the need for continue…,D
"RT @RepStricklandWA: Ukraine President, @ZelenskyyUa, is an incredible leader who puts his people and country first.

Thank you, President…",D
"RT @RepSpeier: Zelensky: “In a few days it will be Christmas, but millions of Ukrainians will not have heating or electricity.”",D
RT @RepDonBeyer: An incredible moment. https://t.co/o850KIbbZB,D
"RT @Call_Me_Dutch: Zelensky just told us that American money given to Ukraine, “is not charity. It's an investment in the global security a…",D
RT @RepSpeier: Zelensky: “Your money is not charity. It is an investment in global freedom.”,D
RT @RepSpeier: Zelensky likens the Battle of the Bulge to Ukraine’s fight through Christmas for freedom. “Ukraine will never surrender.”,D
"RT @POTUS: America welcomes you, Mr. President. https://t.co/emqWCAYaTv",D
"$20,946,200 in Community Project Funding we secured for Charlotte &amp; #NC12 is included in the final 2023 appropriati… https://t.co/o8W64xK24P",D
"RT @AspireAscend: ""There’s still a huge gap in resources &amp; opportunities between women’s sports &amp; men’s sports...a #TitleIX violation hidin…",D
RT @NPWF: Thank you @RepUnderwood @RepRobinKelly @RepAdams @SenBooker @SenatorDurbin @RonWyden from our president @jocelyncfrye https://t.c…,D
"RT @voiceinsportFnd: There is a nation-wide lack of enforcement of Title IX, and we won’t stand for it. Today the VIS Advocates join @chris…",D
"RT @achristovichh: @ChrisMurphyCT @RepAdams @LoriTrahanMA @RepBonamici Here's our story breaking down the bill. 

One of the biggest potent…",D
"My friend, the late @RepMcEachin, worked hard on legislation for preservation and restoration measures for Black bu… https://t.co/b5B07sKfPt",D
"RT @RepLoriTrahan: Title IX loopholes have been hurting women athletes for decades. I'm introducing legislation with @ChrisMurphyCT, @RepAd…",D
"RT @RepAdams: I’m proud to secure #Omnibus funding for many of our North Carolina priorities, including increased funding for:

✅ #HBCUs &amp;…",D
"I’m proud to secure #Omnibus funding for many of our North Carolina priorities, including increased funding for:

✅… https://t.co/mtosUyXB57",D
RT @BekahJaneW: BREAKING: Today Oregon and Washington join California in adopting the life-saving Advanced Clean Cars II Rule. The West Coa…,D
"RT @ChrisCoons: Can't agree more with my fellow Congressional HBCU Caucus co-Chair @RepAdams—after years of underfunding, the pandemic, &amp; b…",D
Eagles fly! https://t.co/Q6cRFSudL6,D
RT @WhipClyburn: Thank you to Chairman @BennieGThompson and the @January6thCmte for your efforts to discover the truth and defend our democ…,D
"RT @washingtonpost: Former president Donald Trump is “unfit for any office,” Rep. Liz Cheney (R-Wyo.) said in her opening remarks, as the J…",D
"Today's Jan. 6 Committee meeting is about accountability. In the case of former President Trump, that means account… https://t.co/6GyS3bncoB",D
"During Hanukkah, the High Holy Days, or any days, antisemitism has no place in our society. https://t.co/jfG0bQS4vm",D
Today is the last day to buy health care coverage from https://t.co/U7NI6AZsXU (the Marketplace) that starts Januar… https://t.co/VNNz0Hm9WH,D
"RT @RepAdams: @AutumnNAlston @RoyCooperNC For state-level unemployment claims, your state rep or state senator can often be your best advoc…",D
"@AutumnNAlston @RoyCooperNC For state-level unemployment claims, your state rep or state senator can often be your… https://t.co/DhhpF1MZj1",D
"RT @RepLoriTrahan: Post-Roe, maternal and infant mortality have continued to rise in states that ban or restrict access to reproductive hea…",D
"This law didn’t prevent illegal votes from Donald Trump’s chief of staff, but it did put up more barriers to NC12 c… https://t.co/5W40Aw6um8",D
Happy First Night of Hanukkah!,D
RT @Eugene_Scott: “This unconstitutional law was never about election security; it was always about voter suppression. Today’s decision wil…,D
It was great to meet with @SecVetAffairs and discuss how we can work together to ensure veterans in the Inland Empi… https://t.co/3qyMdcdQV5,D
"On #HolocaustRemembranceDay, we condemn the murder of six million Jews and countless others across Europe. We honor… https://t.co/Ni5s34erJ8",D
"House Republicans are working to threaten the livelihoods of Americans by: 
1. Raising taxes on working families wi… https://t.co/bjKzDQvjwr",D
"@POTUS’s economic plan is working to rebuild our economy. In the last month we’ve seen: 
✅ nearly 11 million new jo… https://t.co/06r6dClpeQ",D
House Republicans are trying to ban abortions. A woman’s health care decisions are her own. That’s why I support th… https://t.co/ben0sA2vyK,D
I was thrilled to welcome @VP to our caucus meeting today! https://t.co/NJVKQtuimf,D
House Republicans are threatening the livelihoods of Americans and the full faith and credit of the United States.… https://t.co/dw99XkuuXv,D
My heart breaks for the people of Monterey Park as they are forced to confront an act of unspeakable violence at wh… https://t.co/NSxSdYyBgP,D
"Social Security and Medicare are not up for negotiation. 

The people that rely on them are not bargaining chips.",D
"In the 2 years @POTUS &amp; @VP have been in office we’ve worked together to make historic progress for America by:
✅ M… https://t.co/PjKs6gqys6",D
"Our servicemembers deserve high-quality health care. Starting this week, more than 18 million veterans could be eli… https://t.co/f7Kewu5xLn",D
"Today we honor Dr. Martin Luther King. As we reflect on his life and work, we must remember what he fought for and… https://t.co/8TgpStGP7h",D
"🚨Today is the last day for open enrollment at https://t.co/PrOWf9Hce0.

We passed the #InflationReductionAct to low… https://t.co/AfPCtAgR1I",D
The full faith and credit of the United States should not be up for negotiation. House Democrats will work to addre… https://t.co/Dx8Ir81abY,D
RT @SecRaimondo: I had a great morning of meetings on Capitol Hill with @RepJeffries and @RepPeteAguilar. We’re focused on implementing the…,D
Great to meet with @SecRaimondo and discuss how we can work together to make more in America and create more good p… https://t.co/xTR4JLfK8b,D
Extreme MAGA Republicans are attacking women’s reproductive freedom and criminalizing abortion nationwide. A woman’… https://t.co/EhVbscqVeR,D
"Thanks to the Inflation Reduction Act, the Biden-Harris Administration is making the largest investment in domestic… https://t.co/nx1kfy2rGh",D
House Republicans’ priorities are clear: their first bill in Congress is designed to protect the wealthy and well-c… https://t.co/r6tzxmZSsC,D
"RT @SuzGamboa: Reposting this interview w/ @RepPeteAguilar in light of the attacks on Brazil's government buildings over the weekend:
https…",D
I was proud to be sworn in early this morning to represent California’s 33rd District. I’m so honored to continue r… https://t.co/ANgymodvDi,D
@flyONT DCA? 🤔,D
We will never forget what took place on January 6th. We remember those who lost their lives. We honor the officers… https://t.co/8tMKSybmv7,D
"RT @angel_rodrgz: In D.C. today, thanked @RepPeteAguilar for his leadership delivering $1.5m for student training in the Clean Energy/EV Te…",D
"RT @POTUS: Happy New Year, folks.
 
I think it’s going to be a great year.
 
Why? Because we get to start implementing a lot of the things…",D
Merry Christmas and Happy Holidays to everyone in the Inland Empire. May you and your loved ones enjoy some rest an… https://t.co/0hBSD0n0pQ,D
"The @January6thCmte released our report today. As we approach the two-year anniversary of the attack, I hope you’ll… https://t.co/jCCoLPJaef",D
RT @TMZLive: The Jan 6th House select committee voted to recommend the department of justice to prosecute Donald Trump. @aguilarpete stoppe…,D
"RT @Elex_Michaelson: .@January6thCmte member @RepPeteAguilar on why former Pres. Trump should be prosecuted:

""If we're truly a nation of l…",D
Incredibly proud of the work of our committee to uphold our pledge to the American people: to detail what happened… https://t.co/J9ejEGCD5h,D
Wishing everyone in the Inland Empire and across the country a Happy Hanukkah! https://t.co/X88aU71BgW,D
Today was the ribbon cutting for 98 affordable housing units in ⁦@CityofRedlands⁩. I secured $24 million in… https://t.co/76hFPToikV,D
"The PACT Act is the largest expansion of veterans’ benefits in generations. 

Please visit ⁦@DeptVetAffairs⁩ websit… https://t.co/oroz3Alx68",D
"10 years ago today 20 children &amp; 6 educators were killed at Sandy Hook Elementary School in Newton, CT.… https://t.co/Y7GcQ2qO6K",D
"Right now @lifestreamblood in San Bernardino has a critically low supply of blood. If you are able, please make an… https://t.co/aghW0JhueD",D
While Kevin McCarthy remains committed to selling out for Speaker votes and using the debt ceiling as a bargaining… https://t.co/O6ZYmP1Spw,D
I just voted to send the historic Respect for Marriage Act to @POTUS’s desk and enshrine into law the equality and… https://t.co/Ls09JienxP,D
Today marks the 81st anniversary of the attack on Pearl Harbor. We honor the memories of those we lost on that day… https://t.co/KuZo1ljabP,D
"RT @kaitlancollins: What does getting the Jan. 6 report ""right"" look like? @RepPeteAguilar: ""It means telling the truth &amp; making sure we as…",D
"Today we honored the @CapitolPolice, @DCPoliceDept and law enforcement who defended our Capitol building on January… https://t.co/9Sqn1si82S",D
RT @CapitolPolice: ❤️ https://t.co/LMY5DHq9J8,D
RT @Morning_Joe: .@RepPeteAguilar: “House Democrats understand the Latino community is not a monolith. You can't use the same talking point…,D
"RT @Morning_Joe: ""Right now, Kevin McCarthy is caught in a position. He has his far flank that is telling him, ""no, never, and we're not go…",D
My story is the same as so many in the Latino community and across the country. @HouseDemocrats are proud to welcom… https://t.co/1aYsM2dpaM,D
"RT @FaceTheNation: For the first time in more than a decade, House Democrats will have new leadership. Tomorrow, @margbrennan will talk wit…",D
My statement with @RepJeffries and @RepKClark condemning antisemitism https://t.co/gTznIDZRE0,D
Today we mark the 7th anniversary of the deadly terror attack that devastated my hometown of San Bernardino. Togeth… https://t.co/KyYSHFiJGH,D
"My statement on the election of @RepJoeNeguse, @RepEscobar, @RepDeanPhillips and @RepUnderwood as Chair and Co-Chai… https://t.co/DgkQLUd3hB",D
My statement on the election of @WhipClyburn as Assistant Democratic Leader https://t.co/O69nMX4K01,D
"Being a kid from San Bernardino, and having an opportunity to guide @HouseDemocrats, is a great responsibility and… https://t.co/yeWN4qaEIi",D
My statement on the election of my friend and fellow Californian @RepTedLieu as Democratic Caucus Vice Chair https://t.co/uE2bnlQ252,D
My statement on the election of @RepKClark as Democratic Whip https://t.co/wISmUreyAj,D
My statement on the election of @RepJeffries as Democratic Minority Leader https://t.co/PJihurG4AF,D
My statement on being elected Democratic Caucus Chair https://t.co/6gOJxUu02f,D
🇺🇸🇺🇸🇺🇸,D
